review_id,product,brand,category,rating,feedback,date,clean_feedback,sentiment,confidence_score
1,Garmin Venu 2,Garmin,Smartwatch,1,Battery life could be better for daily usage.,2024-10-08,battery life could better daily usage,positive,0.25
2,Razer Blade 15,Razer,Laptop,2,The display quality is sharp and vibrant.,2024-04-14,display quality sharp vibrant,positive,0.02083333333333333
3,Microsoft Xbox Series X,Microsoft,Gaming Console,5,Worth the price and delivers good value.,2025-03-08,worth price delivers good value,positive,0.5
4,Google Pixel 8 Pro,Google,Smartphone,1,Worth the price and delivers good value.,2024-08-11,worth price delivers good value,positive,0.5
5,MSI Katana 15,MSI,Laptop,5,I am okay with the overall experience.,2024-01-28,okay overall experience,positive,0.25
6,Sony Alpha A7 IV,Sony,Camera,2,"I am satisfied with the display, but not satisfied with the battery life.",2025-03-05,satisfied display not satisfied battery life,positive,0.125
7,MSI Katana 15,MSI,Laptop,4,"It meets expectations, nothing more.",2024-10-11,meets expectations nothing more,positive,0.5
8,Netgear Nighthawk AX5400,Netgear,Router,1,"Satisfied with the design, but unhappy with the software.",2024-06-12,satisfied design unhappy software,negative,-0.04999999999999999
9,Nintendo Switch OLED,Nintendo,Gaming Console,4,I regret buying this product.,2024-10-11,regret buying product,neutral,0.0
10,Dell XPS 13,Dell,Laptop,2,"Satisfied with the design, but unhappy with the software.",2024-12-10,satisfied design unhappy software,negative,-0.04999999999999999
11,Motorola Edge 40,Motorola,Smartphone,1,I am frustrated and not satisfied at all.,2024-04-09,frustrated not satisfied all,negative,-0.475
12,Bose QuietComfort Ultra,Bose,Headphones,3,I am okay with the overall experience.,2024-09-27,okay overall experience,positive,0.25
13,Netgear Nighthawk AX5400,Netgear,Router,1,"Happy with the performance, but disappointed with the heating issue.",2025-04-15,happy performance disappointed heating issue,positive,0.025000000000000022
14,Canon EOS R6 Mark II,Canon,Camera,1,"Overall satisfied, but not fully happy with the experience.",2025-01-22,overall satisfied not fully happy experience,positive,0.43333333333333335
15,Nothing Phone 2,Nothing,Smartphone,5,I am unhappy with how quickly it overheats.,2025-01-05,unhappy how quickly overheats,negative,-0.13333333333333333
16,Nikon Z6 II,Nikon,Camera,2,"I am satisfied with the display, but not satisfied with the battery life.",2024-03-12,satisfied display not satisfied battery life,positive,0.125
17,Google Pixel 8 Pro,Google,Smartphone,2,"Very happy with the sound quality, though disappointed with connectivity.",2024-10-23,very happy sound quality though disappointed connectivity,positive,0.21666666666666665
18,Nothing Phone 2,Nothing,Smartphone,2,"Very satisfied with the screen, but not happy with the speakers.",2024-04-13,very satisfied screen not happy speakers,positive,0.125
19,Beats Studio 3,Beats,Headphones,3,"Overall, I feel dissatisfied with this purchase.",2025-01-08,overall dissatisfied purchase,neutral,0.0
20,HP Omen 16,HP,Laptop,3,Not happy with the slow charging speed.,2024-08-02,not happy slow charging speed,negative,-0.35000000000000003
21,Sony PlayStation 5,Sony,Gaming Console,3,The experience is average overall.,2024-03-14,experience average overall,negative,-0.075
22,Apple Watch Ultra 2,Apple,Smartwatch,2,I am partially satisfied with the performance.,2024-09-07,partially satisfied performance,positive,0.5
23,HP Omen 16,HP,Laptop,4,I am frustrated and not satisfied at all.,2024-10-03,frustrated not satisfied all,negative,-0.475
24,Razer DeathAdder V2,Razer,Mouse,5,Connectivity works flawlessly.,2024-11-28,connectivity works flawlessly,positive,1.0
