review_id,product,brand,category,rating,feedback,date,clean_feedback
1,Garmin Venu 2,Garmin,Smartwatch,1,Battery life could be better for daily usage.,2024-10-08,battery life could better daily usage
2,Razer Blade 15,Razer,Laptop,2,The display quality is sharp and vibrant.,2024-04-14,display quality sharp vibrant
3,Microsoft Xbox Series X,Microsoft,Gaming Console,5,Worth the price and delivers good value.,2025-03-08,worth price delivers good value
4,Google Pixel 8 Pro,Google,Smartphone,1,Worth the price and delivers good value.,2024-08-11,worth price delivers good value
5,MSI Katana 15,MSI,Laptop,5,I am okay with the overall experience.,2024-01-28,okay overall experience
6,Sony Alpha A7 IV,Sony,Camera,2,"I am satisfied with the display, but not satisfied with the battery life.",2025-03-05,satisfied display not satisfied battery life
7,MSI Katana 15,MSI,Laptop,4,"It meets expectations, nothing more.",2024-10-11,meets expectations nothing more
8,Netgear Nighthawk AX5400,Netgear,Router,1,"Satisfied with the design, but unhappy with the software.",2024-06-12,satisfied design unhappy software
9,Nintendo Switch OLED,Nintendo,Gaming Console,4,I regret buying this product.,2024-10-11,regret buying product
10,Dell XPS 13,Dell,Laptop,2,"Satisfied with the design, but unhappy with the software.",2024-12-10,satisfied design unhappy software
11,Motorola Edge 40,Motorola,Smartphone,1,I am frustrated and not satisfied at all.,2024-04-09,frustrated not satisfied all
12,Bose QuietComfort Ultra,Bose,Headphones,3,I am okay with the overall experience.,2024-09-27,okay overall experience
13,Netgear Nighthawk AX5400,Netgear,Router,1,"Happy with the performance, but disappointed with the heating issue.",2025-04-15,happy performance disappointed heating issue
14,Canon EOS R6 Mark II,Canon,Camera,1,"Overall satisfied, but not fully happy with the experience.",2025-01-22,overall satisfied not fully happy experience
15,Nothing Phone 2,Nothing,Smartphone,5,I am unhappy with how quickly it overheats.,2025-01-05,unhappy how quickly overheats
16,Nikon Z6 II,Nikon,Camera,2,"I am satisfied with the display, but not satisfied with the battery life.",2024-03-12,satisfied display not satisfied battery life
17,Google Pixel 8 Pro,Google,Smartphone,2,"Very happy with the sound quality, though disappointed with connectivity.",2024-10-23,very happy sound quality though disappointed connectivity
18,Nothing Phone 2,Nothing,Smartphone,2,"Very satisfied with the screen, but not happy with the speakers.",2024-04-13,very satisfied screen not happy speakers
19,Beats Studio 3,Beats,Headphones,3,"Overall, I feel dissatisfied with this purchase.",2025-01-08,overall dissatisfied purchase
20,HP Omen 16,HP,Laptop,3,Not happy with the slow charging speed.,2024-08-02,not happy slow charging speed
21,Sony PlayStation 5,Sony,Gaming Console,3,The experience is average overall.,2024-03-14,experience average overall
22,Apple Watch Ultra 2,Apple,Smartwatch,2,I am partially satisfied with the performance.,2024-09-07,partially satisfied performance
23,HP Omen 16,HP,Laptop,4,I am frustrated and not satisfied at all.,2024-10-03,frustrated not satisfied all
24,Razer DeathAdder V2,Razer,Mouse,5,Connectivity works flawlessly.,2024-11-28,connectivity works flawlessly
25,Samsung 970 EVO SSD,Samsung,Storage,1,Connectivity works flawlessly.,2024-02-02,connectivity works flawlessly
26,Netgear Nighthawk AX5400,Netgear,Router,3,Completely unhappy with the software stability.,2024-10-01,completely unhappy software stability
27,Xiaomi 14,Xiaomi,Smartphone,2,"I am generally happy, but somewhat dissatisfied with build quality.",2024-11-18,generally happy somewhat dissatisfied build quality
28,Acer Predator Helios 300,Acer,Laptop,4,Completely unhappy with the software stability.,2025-04-14,completely unhappy software stability
29,Dell XPS 13,Dell,Laptop,3,The display quality is sharp and vibrant.,2024-09-09,display quality sharp vibrant
30,LG UltraGear 27GP850,LG,Monitor,5,I am partially satisfied with the performance.,2024-09-26,partially satisfied performance
31,LG UltraGear 27GP850,LG,Monitor,5,Very disappointed considering the price.,2025-02-12,very disappointed considering price
32,Sennheiser Momentum 4,Sennheiser,Headphones,2,The display quality is sharp and vibrant.,2025-06-05,display quality sharp vibrant
33,Sony Bravia A80L,Sony,Television,1,"Satisfied with the design, but unhappy with the software.",2024-02-18,satisfied design unhappy software
34,Seagate Barracuda 2TB,Seagate,Storage,1,Sometimes it lags while multitasking.,2024-06-12,sometimes lags while multitasking
35,TP-Link Archer AX73,TP-Link,Router,4,I am okay with the overall experience.,2024-03-06,okay overall experience
36,Beats Studio 3,Beats,Headphones,4,I am okay with the overall experience.,2025-04-24,okay overall experience
37,Hisense U7K,Hisense,Television,3,The product is acceptable but not impressive.,2024-01-12,product acceptable not impressive
38,Microsoft Xbox Series X,Microsoft,Gaming Console,1,"I am somewhat happy, but improvements are needed.",2024-09-30,somewhat happy improvements needed
39,Asus TUF Gaming VG27AQ,Asus,Monitor,3,Software experience is clean and responsive.,2024-10-27,software experience clean responsive
40,Jabra Elite 7 Pro,Jabra,Earbuds,2,"Overall, I feel dissatisfied with this purchase.",2024-01-04,overall dissatisfied purchase
41,Anker PowerCore 20000,Anker,Power Bank,3,I feel neutral about this purchase.,2024-07-01,neutral about purchase
42,TCL C645 QLED,TCL,Television,1,"Very satisfied with the screen, but not happy with the speakers.",2024-11-01,very satisfied screen not happy speakers
43,Samsung 970 EVO SSD,Samsung,Storage,5,I am okay with the overall experience.,2024-07-22,okay overall experience
44,Dell XPS 13,Dell,Laptop,3,"Satisfied with the design, but unhappy with the software.",2024-06-14,satisfied design unhappy software
45,Canon EOS R6 Mark II,Canon,Camera,5,"I am generally happy, but somewhat dissatisfied with build quality.",2024-01-01,generally happy somewhat dissatisfied build quality
46,Apple Watch Ultra 2,Apple,Smartwatch,3,"Not fully satisfied, but not completely disappointed either.",2024-01-20,not fully satisfied not completely disappointed either
47,Realme GT 5,Realme,Smartphone,3,"I feel happy using it daily, but not satisfied with long-term stability.",2024-11-10,happy using daily not satisfied longterm stability
48,Razer Blade 15,Razer,Laptop,1,I am not satisfied with the battery performance.,2024-03-21,not satisfied battery performance
49,Nothing Phone 2,Nothing,Smartphone,4,"Happy with multitasking, but not satisfied with durability.",2024-03-11,happy multitasking not satisfied durability
50,Belkin 3-in-1 Wireless Charger,Belkin,Charger,5,"Very happy with the sound quality, though disappointed with connectivity.",2024-05-08,very happy sound quality though disappointed connectivity
51,MacBook Air M3,MacBook,Laptop,4,The product is acceptable but not impressive.,2024-06-18,product acceptable not impressive
52,iPad Pro 12.9,iPad,Tablet,5,"Very satisfied with the screen, but not happy with the speakers.",2025-03-09,very satisfied screen not happy speakers
53,Anker PowerCore 20000,Anker,Power Bank,2,"Overall satisfied, but not fully happy with the experience.",2024-07-24,overall satisfied not fully happy experience
54,Steam Deck,Steam,Gaming Console,3,Completely unhappy with the software stability.,2025-01-17,completely unhappy software stability
55,Nothing Ear 2,Nothing,Earbuds,5,I am not satisfied with customer support.,2024-05-03,not satisfied customer support
56,Razer Blade 15,Razer,Laptop,2,Facing some heating issues during heavy use.,2024-12-12,facing some heating issues during heavy use
57,Samsung Galaxy S24 Ultra,Samsung,Smartphone,5,The product is acceptable but not impressive.,2024-08-23,product acceptable not impressive
